(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00296881,0) | (-0.00205235,0)
(-0.0483453,0) | (0.0578776,0)
(0.00622014,0) | (-0.00483045,0)
(-0.0258863,0) | (0.00925324,0)
(0.000543178,0) | (0.0020277,0)
(0.0701542,0) | (-0.0682068,0)
(0.000456965,0) | (-0.00268639,0)
(0.0339246,0) | (-0.0136843,0)
(0.000490443,0) | (-0.000252768,0)
(-0.0510645,0) | (-0.000571664,0)
(-0.0250971,0) | (0.00536807,0)
(0.0123711,0) | (0.0413201,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(-0.00624815,0) | (0.00295786,0)
(-0.016645,0) | (0.0232209,0)
(-0.00458415,0) | (-0.00482657,0)
(0.00953694,0) | (0.082494,0)
(0.00627263,0) | (-0.00507321,0)
(0.0369902,0) | (-0.074864,0)
(0.0198126,0) | (-0.0167873,0)
(0.015673,0) | (-0.017748,0)
(-0.0100306,0) | (0.0133948,0)
(-0.175804,0) | (0.198759,0)
(-0.0420814,0) | (0.00212343,0)
(-0.00948444,0) | (0.133585,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
